uid,iid,rui,est,details,Iu,Ui,err
1585,55,0.0,0.0,{'was_impossible': False},10,445,0.0
9488,2,0.0,0.0,{'was_impossible': False},5,2736,0.0
11671,82,0.0,0.0,{'was_impossible': False},8,206,0.0
4049,61,0.0,0.0,{'was_impossible': False},9,494,0.0
4898,2,0.0,0.0,{'was_impossible': False},8,2736,0.0
4917,17,0.0,0.0,{'was_impossible': False},7,852,0.0
721,92,0.0,0.0,{'was_impossible': False},9,388,0.0
17055,92,0.0,0.0,{'was_impossible': False},3,388,0.0
8917,2,0.0,0.0,{'was_impossible': False},5,2736,0.0
12676,15,0.0,0.0,{'was_impossible': False},6,894,0.0
